YEAR,MM,DD, HH,MM, SS  ,LATITUDE, LONG. ,DEPTH,ERR, MAG,MT,Q, Io, Area,ST, Locality              ,(Reference) Comments
1967,08,05, 09,56,   10, -22.850,-43.120,  0.0, 10, 3.6, 1,B,5-6,  2.7,RJ,SAO GONCALO ,
1967,08,09, 07,14,   08,  -8.450,-73.830, 42.0, 30, 5.1, 0,I,  -,     ,AC,PERU-BRASIL ,
1967,08,18, 21,24,   24, -21.300,-60.600,  0.0,100, 4.7, 0,I,  -,     ,PY,PARAGUAI               ,(ISC)
1968,01,13, 01,55,   51,  -6.090,-38.440,  0.0, 10, 3.9, 2,C,  6, 25.0,CE,PEREIRO                ,(UFRN)    
1968,01,13, 01,58,     ,  -6.040,-38.460,  0.0,  0, 2.8, 4,C,3-4,     ,CE,PEREIRO     ,
1968,01,18, 10,40,     ,  -6.090,-38.440,  0.0,  0, 3.5, 4,C,  5,     ,RN,SALAO                  , DIA INCERTO    
1968,02,04,   ,  ,     ,  -6.110,-38.440,  0.0,  0, 3.2, 4,C,4-5,     ,RN,JUNCO       ,
1968,02,15, 13,20,   48,  -6.090,-38.440,  0.0, 10, 4.1, 2,B,  6, 11.0,CE,PEREIRO                , (UFRN)    
1968,02,23, 14,23,   02,  -6.090,-38.440,  0.0,  5, 4.6, 2,A,  7, 84.0,CE,PEREIRO                , (UFRN;IAG;ISC) 
1968,02,23, 14,37,   01,  -6.090,-38.440,  0.0, 10, 3.0, 1,C,  -,     ,CE,PEREIRO                , (UFRN) EPICENTRO INFERIDO
1968,02,23, 15,21,   16,  -6.090,-38.440,  0.0, 10, 3.0, 1,C,  -,     ,CE,PEREIRO                , (UFRN) EPICENTRO INFERIDO
1968,02,23, 15,33,   03,  -6.090,-38.440,  0.0, 10, 3.8, 2,C,  -,     ,CE,PEREIRO                , (UFRN) EPICENTRO INFERIDO
1968,03,00,   ,  ,     ,  -6.920,-39.580,  0.0,  0, 3.0, 4,C,  4,     ,CE,FARIAS BRITO,
1968,03,18,   ,  ,     ,  -6.040,-38.460,  0.0,  0, 3.7, 4,C,5-6,     ,CE,PEREIRO     ,
1968,08,27, 05,17,   36,  -8.900,-72.890, 26.0, 30, 4.9, 0,I,  -,     ,AC,W DO ACRE              ,(ISC H=50 ?)   
1968,10,15, 19,54,   20, -26.870,-60.880, 20.0, 30, 5.0, 4,I,  6,     ,AR,Campo Largo; Chaco     ,(SJA;ZON/INPRES)
1969,  ,00, 16,  ,     , -16.450,-54.640,  0.0,  0, 2.3, 4,C,2-3,     ,MT,RONDONOPOLIS           ,ANO INCERTO; 1974?  
1969,03,05, 16,28,   55, -23.100,-60.600,  0.0,100, 4.1, 0,I,  -,     ,PY,PARAGUAI               ,(ISC)
1970,01,12, 04,43,   08,  -1.320,-48.480,  0.0, 30, 4.5, 2,B,6-7, 10.0,PA,BELEM                  ,(ISC;IAG;UnB) MAIS 4 EV. 
1970,01,29,   ,  ,     ,  -7.960,-36.210,  0.0,  0, 3.9, 4,C,  6,     ,PE,S.C.CAPIBARI           , DOIS EVENTOS   
1970,01,30,   ,  ,     ,  -7.960,-36.210,  0.0,  0, 3.5, 4,C,  5,     ,PE,S.C.CAPIBARI,
1970,03,29, 08,27,   48,  -8.290,-73.380, 25.0, 50, 4.3, 0,I,  -,     ,AC,SA. DIVISOR            , (ISC)
1970,08,14, 04,59,   01, -13.500,-49.100,  0.0, 50, 3.0, 5,I,  -,     ,GO,PORANGATU              , (BERROCAL 1974) N. SENT. 
1970,11,00,   ,  ,     ,  -6.930,-35.530,  0.0,  0, 3.9, 4,C,  6,     ,PB,ALAGOINHA   ,
1970,11,20, 23,55,   21, -13.500,-49.100,  0.0, 50, 3.6, 5,I,  -,     ,GO,PORANGATU              , (BERROCAL 1974) N. SENT. 
1970,12,00,   ,  ,     , -20.280,-44.750,  0.0,  3, 3.4, 3,B,  4,  0.7,MG,Carmo do CAJURU        ,INDUZIDO  
1971,02,11,   ,  ,     , -25.100,-48.900,  0.0,  0, 3.0, 4,C,  4,     ,PR,CAPIVARI-CACHOEIRA     ,INDUZIDO POR RESERVATORIO
1971,03,00,   ,  ,     , -25.250,-48.800,  0.0,  0, 3.7, 4,C,5-6,     ,PR,CAPIVARI-CACHOEIRA     ,VARIOS; INDUZ.P.RESERVAT.
1971,05,05, 15,32,   02, -17.000,-53.800,  0.0,100, 3.6, 1,I,  -,     ,MT,ALTO GARCAS            ,(UnB; mag=3.35+0.25) SENT. RONDONOPOLIS?
1971,05,21, 16,  ,     , -25.100,-48.900,  0.0,  0, 3.9, 4,C,  6,     ,PR,CAPIV-CACHOE           ,INDUZIDO POR RESERVATORIO
1971,07,16, 19,51,   04, -13.500,-49.100,  0.0, 50, 3.5, 5,I,  -,     ,GO,PORANGATU              ,(BERROCAL 1974) N. SENT. 
1971,08,05, 02,30,     ,  -8.040,-34.900,  0.0,  0, 3.0, 5,C,  5,     ,PE,RECIFE                 ,5 EV. (BERROCAL 1974)    
1971,08,08, 13,32,   39, -20.280,-44.750,  0.0,  0, 3.5, 5,C,5-6,     ,MG,C.DO CAJURU            ,INDUZIDO POR RESERVATORIO
1972,01,23, 03,03,   51, -20.280,-44.750,  0.0,  5, 3.7, 1,B,  6,  3.2,MG,CARMO DO CAJURU        ,INDUZIDO POR RESERVATORIO
1972,01,29, 03,34,   46, -16.000,-51.000,  0.0,100, 3.0, 5,I,  -,     ,GO,SW DE GOIAS?           ,(BERROCAL 1974)
1972,03,04, 21,45,     ,  -9.930,-36.490,  0.0,  0, 3.4, 3,C,  5,  0.7,AL,JUNQUEIRO   ,
1972,06,04, 04,30,     ,  -6.210,-38.500,  0.0,  0, 3.0, 4,C,  4,     ,RN,SAO MIGUEL  ,
1972,08,00,   ,  ,     , -16.470,-41.700,  0.0,  0, 3.9, 4,C,  6,     ,MG,TUPARECE               ,VARIOS EVENTOS
1972,10,24, 15,36,   36, -21.720,-40.530,  8.0, 30, 4.8, 2,A,  -, 210.,RJ,CAMPOS                 ,(ISC;IAG) RELOCAL.; Campos V MM  
1973,04,26, 14,15,   02,  -5.280,-35.820,  0.0,  0, 3.6, 1,C,  -, 17.0,RN,PARAZINHO              ,(UFRN)    
1973,04,26, 18,54,   57,  -5.280,-35.820,  0.0,  0, 3.6, 1,C,  -, 17.0,RN,PARAZINHO              ,(UFRN)    
1973,04,27, 08,20,   13,  -5.280,-35.820,  0.0,  0, 3.0, 1,I,  -,     ,RN,PARAZINHO              ,(UFRN) EPI. INFERIDO
1973,05,02, 03,41,   14,  -5.280,-35.820,  0.0,  0, 3.0, 1,I,  -,     ,RN,PARAZINHO              ,(UFRN) EPI. INFERIDO
1973,05,02, 03,47,   58,  -5.280,-35.820,  0.0,  0, 3.1, 1,I,  -,     ,RN,PARAZINHO              ,(UFRN) EPI. INFERIDO
1973,05,02, 17,34,   34,  -5.280,-35.820,  0.0,  0, 2.3, 1,C,  4,     ,RN,PARAZINHO              ,(UFRN)HORA NOTICIADA 12:30    
1973,06,17, 04,22,   29,  -5.280,-35.820,  0.0,  0, 3.0, 1,I,  -,     ,RN,PARAZINHO              ,(UFRN) EPI. INFERIDO
1973,06,26, 05,25,   02,  -5.280,-35.820,  0.0,  0, 3.1, 1,I,  -,     ,RN,PARAZINHO              ,(UFRN) EPI. INFERIDO
1973,07,08, 22,38,   30, -13.410,-49.050,  0.0, 50, 3.3, 1,I,  -,     ,GO,PORANGATU              ,(UnB) NAO SENTIDO   
1973,07,20, 13,35,   25,  -5.280,-35.820,  0.0,  0, 3.9, 1,I,  -,     ,RN,PARAZINHO              ,(UFRN) EPI. INFERIDO
1973,07,22, 21,22,   50,  -5.280,-35.820,  0.0, 10, 4.3, 2,B,6-7, 25.0,RN,PARAZINHO              ,(UFRN)   (LAO MB4.1)  
1973,07,22, 21,33,   27,  -5.280,-35.820,  0.0,  0, 3.0, 1,I,  -,     ,RN,PARAZINHO              ,(UFRN) EPI. INFERIDO
1973,07,23, 13,27,   10,  -5.280,-35.820,  0.0,  0, 3.0, 1,C,  -,     ,RN,PARAZINHO              ,(UFRN) HORA NOTICIADA 11H
1973,07,23, 23,35,   51,  -5.280,-35.820,  0.0,  0, 3.0, 1,I,  -,     ,RN,PARAZINHO              ,(UFRN) EPI. INFERIDO
1974,02,03, 20,20,   23, -29.500,-42.540,  0.0, 30, 4.4, 0,I,  -,     ,SC,ATLANTICO              ,(ISC)
1974,02,15,   ,  ,     , -20.040,-48.470,  0.0,  0, 3.0, 4,C,  4,     ,MG,CONC.ALAGOAS           ,INDUZIDO POR RESERVATORIO
1974,02,24, 03,19,   40, -20.040,-48.470,  0.0, 10, 4.2, 2,B,6-7,  7.0,MG,CONCEICAO DAS ALAGOAS  ,INDUZIDO POR RESERVATORIO
1974,02,27,   ,  ,     , -20.040,-48.470,  0.0,  0, 3.5, 4,C,  5,     ,MG,CONC.ALAGOAS           ,INDUZIDO POR RESERVATORIO
1974,03,01, 09,  ,     , -20.040,-48.470,  0.0,  0, 3.2, 4,C,4-5,     ,MG,CONCEICAO DAS ALAGOAS  ,INDUZIDO POR RESERVATORIO
1974,03,02, 18,15,     , -20.040,-48.470,  0.0,  0, 3.5, 4,C,  5,     ,MG,CONCEICAO DAS ALAGOAS  ,4 EVEN.-INDUZ.P.RESERVAT.
1974,03,20,   ,  ,     , -29.450,-51.500,  0.0,  0, 3.0, 4,C,  4,     ,RS,SALV.DO SUL ,
1974,04,11,   ,  ,     , -16.420,-41.640,  0.0,  5, 3.7, 3,C,6-7,  2.8,MG,TUPARECE               ,+ DE 200 EM ABRIL/74; INT.< V (!?) 
1974,06,12, 17,39,   16,   5.580,-60.600,  0.0, 50, 3.9, 1,I,  -,     ,RR,GUIANA/RR              ,(ISC; TRN)
1974,10,20, 21,37,   32,  -7.990,-36.060,  0.0, 10, 3.6, 1,C,  5,  0.5,PE,TORITAMA               ,(UFRN)    
1974,10,20, 21,59,   00,  -7.990,-36.060,  0.0,  0, 2.9, 1,I,  -,     ,PE,TORITAMA               ,(UFRN) EPICENTRO INFERIDO 
1974,10,20, 23,02,   42,  -7.990,-36.060,  0.0,  0, 2.7, 1,I,  -,     ,PE,TORITAMA               ,(UFRN) EPICENTRO INFERIDO 
1974,10,21, 02,18,   11,  -7.990,-36.060,  0.0,  0, 2.8, 1,C,  -,     ,PE,TORITAMA               ,(UFRN) NOTICIADO 22:30   
1974,10,21, 02,29,   41,  -7.990,-36.060,  0.0,  0, 2.7, 1,I,  -,     ,PE,TORITAMA               ,(UFRN) EPICENTRO INFERIDO 
1974,12,15, 05,14,   46,  -3.670,-39.240,  0.0,  0, 3.3, 1,C,  6,     ,CE,S.L. DO CURU           ,(UFRN)    
1975,02,04, 19,01,   17,   5.990,-61.480,  0.0, 50, 3.7, 2,I,  -,     ,RR,VENEZUELA/RR           ,(ISC;TRN) 
